District,ELA_Proficiency,ELA_Proficiency_LowIncome,ELA_Proficiency_CWD,Math_Proficiency,Math_Proficiency_LowIncome,Math_Proficiency_CWD,Science_Proficiency,Science_Proficiency_LowIncome,Science_Proficiency_CWD
BRADFORD CUSD 1,58.8,53.3,,54.9,46.7,,,,
BRADLEY SD 61,41.1,36.9,19.1,28.6,27.4,18.1,31.0,31.7,
BREESE ESD 12,78.0,69.4,29.4,53.9,40.9,,46.2,,
BRIMFIELD CUSD 309,54.7,32.1,,45.5,20.4,,54.2,,
BROOKFIELD LAGRANGE PARK SD 95,62.6,46.3,26.3,47.1,26.3,20.0,46.6,,34.4
BROOKLYN UD 188,,,,,,,,,
BROOKWOOD SD 167,27.0,25.2,,23.4,18.6,,16.9,17.6,
BROWN COUNTY CUSD 1,42.7,28.3,,46.3,30.4,,,,
BROWNSTOWN CUSD 201,47.0,38.4,,24.2,20.5,,26.3,,
BRUSSELS CUSD 42,,,,,,,,,
BUNCOMBE CONS SD 43,37.5,37.8,,30.0,29.7,,,,
BUNKER HILL CUSD 8,56.5,43.2,,22.4,14.4,,54.8,34.2,
BURBANK SD 111,48.98333333333333,47.550000000000004,,33.166666666666664,30.866666666666664,,28.316666666666666,26.1,
BUREAU VALLEY CUSD 340,62.0,53.5,30.9,47.2,33.0,16.4,53.8,41.9,
BURNHAM SD 154-5,37.1,37.2,,19.6,20.2,,,,
BUSHNELL PRAIRIE CITY CUSD 170,17.6,,,16.7,,,,,
BUTLER SD 53,84.6,,45.8,79.9,,62.5,87.5,,
BYRON CUSD 226,68.9,58.0,25.0,70.5,58.0,32.1,63.0,58.1,
CAHOKIA CUSD 187,15.233333333333333,13.200000000000001,,8.733333333333334,9.3,,,,
CAIRO USD 1,,,,,,,,,
CALHOUN CUSD 40,45.7,32.0,,40.1,33.3,32.3,39.0,33.3,
CALUMET CITY SD 155,20.1,21.0,,13.4,13.8,,,,
CALUMET PUBLIC SD 132,31.45,33.75,,7.9,,,13.4,,
CAMBRIDGE CUSD 227,71.0,72.1,,61.3,55.8,,67.7,,
CANTON UNION SD 66,48.36666666666667,36.36666666666667,,50.03333333333333,39.833333333333336,,,,
CARBON CLIFF-BARSTOW SD 36,21.7,21.7,,9.6,9.6,,27.3,27.3,
CARBONDALE ESD 95,27.25,19.05,,16.45,8.75,,26.0,12.8,
CARLINVILLE CUSD 1,64.6,58.0,46.0,51.2,41.2,38.0,41.3,31.4,
CARLYLE CUSD 1,54.7,45.1,,51.4,41.5,,,,
CARMI-WHITE COUNTY CUSD 5,66.19999999999999,51.2,32.7,72.15,63.55,58.7,54.8,32.6,
CARRIER MILLS-STONEFORT CUSD 2,46.2,42.0,,9.7,,,20.0,,
CARROLLTON CUSD 1,35.0,30.3,24.3,25.9,22.2,,30.2,,
CARTERVILLE CUSD 5,71.65,59.15,31.1,68.85,56.85,30.0,52.3,47.0,
CARTHAGE ESD 317,35.6,34.3,,24.1,,,,,
CARY CCSD 26,60.56666666666666,45.300000000000004,30.766666666666666,51.13333333333333,34.4,33.0,52.4,29.4,
CASEY-WESTFIELD CUSD 4C,54.4,48.6,,41.7,28.8,,36.1,,
CASS SD 63,68.2,41.7,36.7,69.3,41.7,,,,
CCSD 146,61.6,52.775,33.349999999999994,51.85,43.05,35.2,37.325,46.2,
CCSD 168,25.6,24.8,,7.6,7.8,,10.7,,
CCSD 180,35.2,33.4,,33.1,31.0,,,,
CCSD 204,48.8,44.4,,28.5,28.9,,47.6,,
CCSD 62,62.14444444444444,53.84444444444445,42.839999999999996,53.8,45.98888888888889,36.975,44.9375,49.833333333333336,
CCSD 89,67.75,44.7,41.0,67.5,35.6,49.699999999999996,57.65,,
CCSD 93,54.028571428571425,37.55714285714286,23.866666666666664,43.285714285714285,28.142857142857142,19.5,48.1,31.849999999999998,
CENTER CASS SD 66,53.2,34.3,29.8,59.8,42.9,33.2,52.8,,
CENTRAL A & M CUD 21,52.5,43.3,,43.9,25.0,,45.2,,
CENTRAL CITY SD 133,58.8,53.8,26.0,30.4,23.8,,48.1,41.0,
CENTRAL CUSD 3,56.3,45.1,,45.2,39.2,,,,
CENTRAL CUSD 301,73.35,56.075,42.725,61.025000000000006,40.6,34.325,60.349999999999994,41.7,
CENTRAL CUSD 4,54.6,48.7,,62.5,60.3,,,,
CENTRAL SD 104,37.2,27.0,,47.8,30.6,,,,
CENTRAL SD 51,68.6,50.199999999999996,38.15,56.9,30.549999999999997,28.35,70.5,50.0,34.6
CENTRAL STICKNEY SD 110,59.9,57.8,,49.4,43.1,,32.1,30.3,
CENTRALIA SD 135,32.7,32.75,13.5,21.95,21.95,,24.0,24.1,
CENTURY CUSD 100,42.9,35.6,,,,,,,
CERRO GORDO CUSD 100,52.8,48.1,,38.7,27.8,,36.8,,
CHADWICK-MILLEDGEVILLE CUSD 399,70.2,66.7,,65.5,61.9,,,,
CHAMPAIGN CUSD 4,36.4,21.433333333333334,25.933333333333334,32.35,17.972727272727273,22.15,37.111111111111114,33.2,
CHANEY-MONGE SD 88,33.1,31.6,,13.9,13.8,,23.8,22.5,
CHANNAHON SD 17,66.5,,30.75,65.9,,39.5,51.0,,
CHARLESTON CUSD 1,47.5,31.65,,36.65,23.200000000000003,,29.5,17.6,
CHESTER CUSD 139,44.8,36.5,20.5,24.9,21.3,,31.0,28.1,
CHESTER-EAST LINCOLN CCSD 61,72.6,61.7,,49.2,41.9,,52.2,40.5,
CHICAGO HEIGHTS SD 170,45.71111111111111,46.24444444444444,,34.31111111111111,34.68888888888889,,36.1,36.1,
CHICAGO PUBLIC SCHOOLS DISTRICT 299,38.706896551724135,34.898060344827584,29.040522875816993,25.35734597156398,21.576691729323308,24.516964285714288,33.74033333333333,27.640167364016737,36.449999999999996
CHICAGO RIDGE SD 127-5,38.75,36.05,24.05,28.6,25.35,22.8,29.4,,
CHRISTOPHER USD 99,51.0,43.2,13.3,15.0,10.8,,48.4,40.8,
CICERO SD 99,32.324999999999996,31.133333333333336,13.8,28.375,27.566666666666666,19.5,25.544444444444444,25.333333333333332,
CISSNA PARK CUSD 6,62.3,45.8,,59.0,45.8,,,,
CLAY CITY CUSD 10,35.7,,,28.6,,,,,
CLINTON CUSD 15,57.2,42.7,26.5,43.0,26.8,25.9,43.9,35.1,
COAL CITY CUSD 1,66.1,56.75,42.9,55.349999999999994,38.150000000000006,28.6,58.5,47.9,
COBDEN SUD 17,55.2,56.7,,39.6,40.0,,56.7,59.3,
COLLINSVILLE CUSD 10,44.8875,39.3375,15.7,40.1625,34.1625,7.4,32.1,22.6,
COLONA SD 190,38.9,39.0,,25.8,22.2,,36.8,,
COLUMBIA CUSD 4,81.3,78.4,40.7,83.7,64.9,51.9,,,
COMM CONS SD 59,45.22727272727273,36.06363636363636,33.54,41.61818181818182,31.218181818181815,37.05,44.85,33.760000000000005,
COMMUNITY UNIT SCHOOL DISTRICT NO 196,52.4,49.0,,37.8,34.3,,49.2,51.3,
COOK COUNTY SD 130,37.542857142857144,32.357142857142854,27.5,27.271428571428572,23.442857142857143,52.4,20.25,18.35,
CORNELL CCSD 426,60.0,40.0,,30.0,,,,,
COULTERVILLE USD 1,31.7,,,48.8,46.4,,,,
COUNTRY CLUB HILLS SD 160,28.4,24.6,,12.2,8.9,,20.0,18.4,
COUNTY OF UNION SCH DIST NO43,79.3,78.0,55.6,58.1,49.0,55.6,49.3,36.8,
