District,ELA_Proficiency,ELA_Proficiency_LowIncome,ELA_Proficiency_CWD,Math_Proficiency,Math_Proficiency_LowIncome,Math_Proficiency_CWD,Science_Proficiency,Science_Proficiency_LowIncome,Science_Proficiency_CWD
HAZEL CREST SD 152-5,18.35,18.45,,8.25,8.3,,18.6,18.8,
HENRY-SENACHWINE CUSD 5,47.3,37.3,,22.7,13.7,,47.9,39.0,
HERITAGE CUSD 8,60.1,52.7,,43.6,21.6,,47.8,36.4,
HERRIN CUSD 4,60.4,52.6,18.9,54.7,45.5,15.3,44.5,31.0,
HERSCHER CUSD 2,54.2,43.65,28.65,47.7,38.4,27.15,54.7,40.7,26.7
HEYWORTH CUSD 4,61.0,41.1,40.7,54.5,35.7,33.3,54.4,,
HIAWATHA CUSD 426,52.7,48.0,,37.6,32.0,,54.8,,
HIGH MOUNT SD 116,50.3,45.7,,14.9,8.8,,19.3,,
HIGHLAND CUSD 5,71.46666666666667,68.35,53.550000000000004,72.3,56.849999999999994,23.8,67.1,44.8,
HILLSBORO CUSD 3,63.1,52.0,22.9,44.3,33.9,,40.9,23.2,
HILLSIDE SD 93,42.2,38.5,,23.6,20.8,,24.8,20.3,
HINCKLEY BIG ROCK CUSD 429,60.55,51.3,,38.85,29.8,,52.4,55.0,
HINSDALE CCSD 181,90.55714285714285,,70.05,89.02857142857144,,70.96666666666667,80.52857142857144,,64.7
HOLLIS CONS SD 328,55.4,41.7,,51.1,41.7,,60.7,,
HOMER CCSD 33C,71.26666666666667,55.93333333333334,37.63333333333333,64.5,45.76666666666667,40.56666666666667,50.0,,30.6
HOMEWOOD SD 153,52.4,38.9,30.1,37.9,22.3,24.8,45.0,27.6,29.8
HOOPESTON AREA CUSD 11,52.6,50.6,16.9,32.5,29.0,,26.9,22.8,
HOOVER-SCHRUM MEMORIAL SD 157,24.3,22.3,,12.7,12.5,,,,
HORIZON SCIENCE ACAD-BELMONT CHARTER SCH,50.6,48.8,19.1,28.0,26.6,,23.4,20.2,
HORIZON SCIENCE ACAD-MCKINLEY PARK CHARTER SCH,63.6,65.5,37.4,37.5,38.5,17.6,39.2,41.3,
HUNTLEY COMMUNITY SCHOOL DISTRICT 158,71.63333333333334,60.666666666666664,32.166666666666664,62.199999999999996,50.4,33.300000000000004,58.36666666666667,47.86666666666667,37.25
HUTSONVILLE CUSD 1,37.5,25.9,,42.7,26.4,,61.3,,
IL VALLEY CENTRAL USD 321,64.43333333333334,54.833333333333336,27.8,52.9,39.4,30.6,44.650000000000006,38.9,
ILLINI BLUFFS CUSD 327,64.55,53.3,32.3,41.9,31.650000000000002,,55.75,,
ILLINI CENTRAL CUSD 189,30.6,22.7,,35.8,30.7,25.0,25.5,,
INDIAN CREEK CUSD 425,68.9,57.4,,61.3,51.1,,,,
INDIAN PRAIRIE CUSD 204,66.3,44.48823529411764,35.64666666666667,64.85238095238095,41.422222222222224,38.63076923076923,59.666666666666664,43.7,
INDIAN SPRINGS SD 109,54.199999999999996,50.875,42.75,33.275,29.575000000000003,36.4,31.266666666666666,30.1,
IROQUOIS COUNTY CUSD 9,45.1,40.7,20.8,31.8,28.8,,54.1,44.7,
IROQUOIS WEST CUSD 10,73.75,71.7,,67.55,65.35,,30.9,31.3,
IRVINGTON CCSD 11,38.5,34.5,,25.6,,,,,
ISU LABORATORY SCHOOLS,72.4,58.8,,65.2,70.6,,80.8,,
ITASCA SD 10,77.0,68.6,49.3,71.1,60.0,47.8,59.6,,
IUKA CCSD 7,75.2,65.8,,61.3,56.0,,60.0,51.7,
JACKSONVILLE SD 117,49.28333333333333,44.06666666666666,21.3,37.266666666666666,29.98,21.3,44.25,38.36666666666667,
JASPER CCSD 17,69.6,53.5,,60.0,41.9,,71.4,,
JASPER COUNTY CUD 1,56.4,44.0,21.2,53.6,42.0,,46.5,37.0,
JERSEY CUSD 100,54.05,44.4,,53.599999999999994,40.5,23.3,,,
JOHNSBURG CUSD 12,44.7,34.8,18.2,40.7,29.1,15.7,43.1,30.8,
JOHNSTON CITY CUSD 1,37.25,36.05,,28.6,25.3,,35.0,29.3,
JOLIET PSD 86,30.84,31.033333333333335,43.5,24.3,24.446666666666665,,28.71111111111111,29.033333333333335,
JOPPA-MAPLE GROVE UD 38,58.6,51.2,,45.8,40.5,,,,
KANELAND CUSD 302,63.64,50.25,41.92,48.3,34.233333333333334,29.7,52.64,40.0,
KANKAKEE SD 111,24.8,28.0,,17.56,16.16,,20.3,19.133333333333336,
KANSAS CUSD 3,58.0,,,26.0,,,78.6,,
KEENEYVILLE SD 20,43.5,37.2,,36.6,32.75,23.8,40.4,35.1,
KELL CONS SD 2,39.0,,,,,,,,
KENILWORTH SD 38,87.0,,71.9,84.6,,67.4,84.8,,73.5
KEWANEE CUSD 229,50.1,45.1,,43.699999999999996,39.63333333333333,,56.4,51.099999999999994,
KILDEER COUNTRYSIDE CCSD 96,77.175,43.8,45.666666666666664,74.575,37.5,45.5,75.3,,52.5
KINGS CONS SD 144,67.9,59.1,,47.2,,,,,
KINNIKINNICK CCSD 131,61.5,47.25,33.1,59.199999999999996,41.099999999999994,45.65,55.0,43.3,35.9
KIRBY SD 140,58.92,45.58,27.6,58.279999999999994,46.575,36.019999999999996,36.18,,
KNOXVILLE CUSD 202,60.5,48.2,39.3,49.0,42.9,,,,
KOMAREK SD 94,55.9,46.8,32.9,32.3,22.5,,46.9,36.1,
LA GRANGE SD 102,71.9,45.95,43.475,65.125,29.4,43.3,58.675,,42.5
LA GRANGE SD 105 SOUTH,68.075,56.46666666666667,54.5,59.525000000000006,47.36666666666667,62.85,62.65,,
LA HARPE CSD 347,52.4,51.1,,30.5,30.4,,48.6,47.2,
LA MOILLE CUSD 303,21.4,,,19.6,,,,,
LA SALLE ESD 122,38.4,35.4,,20.7,17.2,,36.9,36.5,
LADD CCSD 94,51.5,34.0,,36.0,23.1,,,,
LAGRANGE HIGHLANDS SD 106,85.6,,67.6,83.2,,55.9,,,
LAKE BLUFF ESD 65,70.5,44.8,45.5,60.1,,30.3,52.7,,
LAKE FOREST SD 67,82.575,,64.725,83.025,,68.0,62.8,,48.2
LAKE VILLA CCSD 41,55.300000000000004,43.166666666666664,28.266666666666666,37.9,25.633333333333336,19.8,52.5,42.6,
LAKE ZURICH CUSD 95,80.92,,58.17999999999999,72.36,,53.779999999999994,69.08,,61.45
LANSING SD 158,42.699999999999996,42.699999999999996,,27.766666666666666,27.599999999999998,,29.53333333333333,29.53333333333333,
LARAWAY CCSD 70C,45.7,45.7,,16.7,16.7,,40.0,40.0,
LAWRENCE COUNTY CUD 20,47.0,43.5,23.8,33.2,29.0,22.2,35.6,27.9,
LEARN JOHN AND KATHY SCHREIBER CHARTER SCHOOL,65.8,64.4,37.8,34.9,33.3,,38.2,34.8,
LEBANON CUSD 9,63.5,54.0,,51.1,28.0,,52.1,,
LELAND CUSD 1,54.2,30.0,,47.2,25.6,,43.6,,
LEMONT-BROMBEREK CSD 113A,66.15,52.400000000000006,42.25,68.5,49.05,45.150000000000006,45.7,27.9,24.2
LENA WINSLOW CUSD 202,72.5,69.5,,59.3,47.6,,54.2,42.3,
LEROY CUSD 2,58.5,48.3,26.3,44.3,36.7,,32.1,,
LEWISTOWN CUSD 97,21.1,13.5,,16.1,12.4,,41.7,,
LEXINGTON CUSD 7,65.7,51.7,,46.3,,,71.9,,
LIBERTY CUSD 2,53.8,34.9,32.7,43.2,23.3,20.4,48.2,,
LIBERTYVILLE SD 70,82.425,73.7,47.95,73.9,63.2,36.349999999999994,78.125,,
LICK CREEK CCSD 16,62.7,43.3,,35.8,,,,,
LIMESTONE WALTERS CCSD 316,57.6,42.4,,46.4,36.4,,67.6,,
LINCOLN ESD 156,48.1,48.1,22.5,20.4,20.4,13.9,29.8,29.8,
LINCOLN ESD 27,52.43333333333334,47.53333333333333,,47.1,41.13333333333333,,48.9,55.6,
LINCOLNSHIRE-PRAIRIEVIEW SD 103,82.3,68.8,46.0,79.4,,48.9,77.1,,48.8
LINCOLNWOOD SD 74,67.5,46.2,44.9,45.9,27.5,38.2,60.5,,52.0
LINDOP SD 92,64.6,62.0,47.7,26.5,24.0,29.5,31.3,30.0,
LISBON CCSD 90,92.4,,,74.7,,,71.9,,
LISLE CUSD 202,67.0,39.8,33.8,62.6,31.8,30.3,59.2,33.3,
LITCHFIELD CUSD 12,55.3,48.8,21.2,37.8,31.3,16.9,37.6,23.2,
LOCKPORT SD 91,69.5,67.9,,72.9,64.3,,,,
LOMBARD SD 44,59.1,43.54,30.7,51.6,34.18,33.56666666666667,45.550000000000004,,
LOSTANT CUSD 425,64.1,,,30.8,,,,,
LOWPOINT-WASHBURN CUSD 21,50.7,46.5,,33.8,31.0,,,,
LUDLOW CCSD 142,,,,,,,,,
LYONS SD 103,46.833333333333336,44.5,10.4,26.166666666666668,23.549999999999997,,33.88333333333333,37.175,
MACOMB CUSD 185,29.4,20.8,10.4,23.0,12.7,,31.5,17.6,
MADISON CUSD 12,13.5,13.4,,10.6,11.1,,,,
MAERCKER SD 60,55.7,39.9,35.8,54.9,34.5,29.9,57.7,35.3,50.0
MAHOMET-SEYMOUR CUSD 3,56.1,35.2,26.8,53.8,31.1,25.6,55.1,26.5,26.8
MALDEN CCSD 84,31.9,,,29.8,,,,,
MANHATTAN SD 114,72.6,62.95,35.55,61.5,47.9,35.25,62.6,31.3,28.6
MANNHEIM SD 83,43.63333333333333,42.26666666666667,,28.0,25.166666666666668,,33.4,39.0,
MANTENO CUSD 5,59.3,41.2,23.5,60.2,45.6,29.4,,,
MARENGO-UNION E CONS D 165,47.75,44.15,,51.7,49.55,,28.0,15.9,
MARION CUSD 2,67.74,58.64,,62.46,52.14,27.4,49.260000000000005,41.260000000000005,
MARISSA CUSD 40,34.5,28.0,,20.4,18.7,,,,
MAROA FORSYTH CUSD 2,63.1,47.8,27.3,56.1,30.4,36.4,38.3,,
MARQUARDT SD 15,41.15,38.75,,31.35,27.725,,35.800000000000004,,
MARSEILLES ESD 150,27.8,23.0,,25.6,19.5,,35.6,19.6,
MARSHALL CUSD 2C,64.7,54.9,39.6,49.3,40.1,32.7,44.0,,
MARTINSVILLE CUSD 3C,54.7,45.8,,47.0,40.3,,,,
MASCOUTAH CUD 19,77.53333333333333,64.96666666666667,45.699999999999996,65.03333333333333,50.333333333333336,38.46666666666667,63.46666666666667,54.05,33.3
MASSAC UD 1,71.92,65.82000000000001,41.25,63.660000000000004,60.56,44.1,59.06666666666667,51.85,
MATTESON ESD 162,43.1,44.28,,29.639999999999997,30.5,,19.8,24.95,
MATTOON CUSD 2,47.6,41.45,25.0,38.6,27.65,18.95,39.7,29.2,
MAYWOOD-MELROSE PARK-BROADVIEW 89,44.9,42.65714285714286,,27.985714285714288,25.12857142857143,,37.22,35.06666666666666,
MAZON-VERONA-KINSMAN ESD 2C,58.1,47.8,,54.8,43.5,,,,
MCCLELLAN CCSD 12,39.5,,,,,,,,
MCHENRY CCSD 15,50.96,41.2,20.8,51.879999999999995,42.32,23.200000000000003,47.5,24.4,
MCLEAN COUNTY USD 5,51.7125,33.36923076923077,36.4,42.68125,22.423076923076923,34.96666666666666,45.22,,
MEDINAH SD 11,44.7,30.1,,45.1,31.0,24.4,48.9,40.0,
MENDOTA CCSD 289,37.1,33.1,,36.2,29.3,,,,
MERCER COUNTY SCHOOL DISTRICT 404,55.95,48.8,,32.25,25.6,,52.85,52.8,
MEREDOSIA-CHAMBERSBURG CUSD 11,,,,,,,,,
MERIDIAN CUSD 101,18.2,13.9,,22.1,22.2,,,,
MERIDIAN CUSD 15,47.1,40.4,,36.7,28.1,,53.1,44.8,
MERIDIAN CUSD 223,46.3,37.0,23.1,46.3,37.0,26.9,33.0,,
METAMORA CCSD 1,67.7,57.4,,57.3,38.3,,71.2,48.6,
MIDLAND CUSD 7,51.6,42.5,,56.0,40.0,,,,
MIDLOTHIAN SD 143,41.03333333333333,38.23333333333333,16.0,23.400000000000002,20.3,,22.5,20.5,
MIDWEST CENTRAL CUSD 191,55.0,47.3,,43.9,33.0,,35.9,34.5,
MILFORD AREA PUBLIC SCHOOLS DISTRICT 124,35.4,30.2,,28.3,21.7,,31.9,24.0,
MILLBURN CCSD 24,72.8,56.45,48.75,59.2,37.05,36.400000000000006,61.8,39.3,43.7
MILLER TWP CCSD 210,51.2,44.8,,43.2,,,42.9,,
MILLSTADT CCSD 160,76.8,68.8,55.8,63.1,51.6,43.7,56.9,33.3,
MINOOKA CCSD 201,55.52,41.739999999999995,29.166666666666668,50.44,36.14,24.675,49.7,35.4,28.4
MOKENA SD 159,65.35,49.7,30.85,65.85,53.2,39.7,46.2,,
MOLINE-COAL VALLEY CUSD 40,35.87,25.77,23.9,34.58,24.4,,29.214285714285715,,
MOMENCE CUSD 1,31.7,29.3,,29.4,25.3,,,,
MONMOUTH-ROSEVILLE CUSD 238,35.2,26.1,21.6,30.1,22.65,,39.8,30.3,
MONROE SD 70,66.5,60.0,,54.0,55.1,,62.5,58.3,
MONTICELLO CUSD 25,59.4,35.65,26.2,55.650000000000006,35.15,21.5,60.9,,
MONTMORENCY CCSD 145,49.6,45.5,,46.3,40.0,,33.3,,
MORRIS SD 54,37.3,27.7,14.6,40.8,27.1,18.3,38.8,33.9,
MORRISON CUSD 6,47.8,34.9,,51.7,43.4,,42.7,,
MORRISONVILLE CUSD 1,45.6,,,53.6,40.0,,57.9,,
MORTON CUSD 709,76.35,63.625,41.833333333333336,66.15,45.1,36.23333333333333,61.425,,
MORTON GROVE SD 70,75.4,63.1,42.9,67.4,53.0,39.7,64.2,47.0,36.4
MOUNT OLIVE CUSD 5,52.3,42.2,,31.5,23.3,,44.4,,
MOUNT PROSPECT SD 57,70.4,,45.75,59.849999999999994,,38.8,64.55,,65.4
MOUNT VERNON SD 80,30.4,27.799999999999997,19.7,20.799999999999997,17.85,,24.0,16.2,
MT PULASKI CUSD 23,58.4,48.8,,45.1,31.7,,48.3,,
MT ZION CUSD 3,54.65,38.8,25.2,53.55,38.1,30.1,49.7,40.7,
MULBERRY GROVE CUSD 1,41.7,30.6,,31.7,27.8,,,,
MUNDELEIN ESD 75,51.3,37.9,19.6,36.0,20.7,15.7,47.3,29.8,
MURPHYSBORO CUSD 186,34.1,33.9,,28.7,28.6,,32.4,32.8,
N PEKIN & MARQUETTE HGHT SD 102,59.9,57.849999999999994,28.4,38.5,31.1,,51.7,47.2,
NAPERVILLE CUSD 203,82.0,63.15,53.03076923076923,76.28571428571429,48.458333333333336,53.315384615384616,74.61538461538461,62.5,58.76666666666667
NASHVILLE CCSD 49,42.5,30.7,,35.4,24.7,,47.0,34.8,
NAUVOO-COLUSA CUSD 325,61.0,62.3,,34.5,30.4,,44.4,43.3,
NEOGA CUSD 3,54.8,52.9,,41.3,29.4,,,,
NETTLE CREEK CCSD 24C,58.8,,,52.9,,,,,
NEW ATHENS CUSD 60,67.7,53.3,,60.6,46.7,40.0,58.1,,
NEW BERLIN CUSD 16,65.9,41.3,,53.3,39.1,,59.6,,
NEW HOLLAND-MIDDLETOWN ED 88,36.7,27.8,,28.0,,,,,
NEW HOPE CCSD 6,79.6,69.5,,72.5,59.3,,66.1,50.0,
NEW LENOX SD 122,63.25,52.31666666666666,34.4,64.35,47.9,36.31428571428571,52.425,43.5,29.333333333333332
NEW SIMPSON HILL SD 32,61.8,57.7,,45.6,46.5,,30.6,,
NEWARK CCSD 66,72.0,,,58.0,,,,,
NILES ESD 71,60.5,56.0,19.1,43.0,35.7,14.5,58.2,52.1,
NIPPERSINK SD 2,70.25,65.15,40.35,50.5,38.7,39.5,58.849999999999994,,
NOKOMIS CUSD 22,47.0,44.3,,40.9,34.4,,56.8,55.6,
NORRIDGE SD 80,66.1,62.5,33.3,67.4,64.4,38.1,,,
NORRIS CITY-OMAHA-ENFIELD CUSD 3,39.3,31.1,,19.9,12.5,,24.5,,
NORTH BOONE CUSD 200,52.15,50.76666666666667,22.0,46.5,40.166666666666664,,33.3,33.3,
NORTH CHICAGO SD 187,31.975,30.8,29.0,23.525,22.875,27.4,21.95,34.2,
NORTH CLAY CUSD 25,42.5,34.3,,31.5,22.5,,26.1,,
NORTH GREENE CUSD 3,33.6,27.0,,26.7,18.9,,37.7,,
NORTH MAC CUSD 34,43.1,37.5,,29.5,25.5,,37.5,28.3,
NORTH PALOS SD 117,81.85,78.4,47.5,73.25,67.95,51.75,53.0,43.95,31.6
NORTH SHORE SD 112,72.07142857142857,48.0,49.92857142857143,67.01428571428572,36.9,47.56666666666666,58.98571428571428,,37.0
NORTH WAMAC SD 186,51.9,52.0,,44.4,42.7,,,,
NORTH WAYNE CUSD 200,65.55000000000001,,,55.35,,,,,
NORTHBROOK ESD 27,87.6,,68.5,79.9,,59.5,70.1,,41.4
NORTHBROOK SD 28,84.66666666666667,,59.96666666666667,81.23333333333333,,58.666666666666664,72.06666666666666,,
NORTHBROOK/GLENVIEW SD 30,84.5,,58.8,85.30000000000001,,63.95,69.3,,56.5
NORTHWESTERN CUSD 2,56.4,65.9,,42.6,40.9,,,,
NORWOOD ESD 63,31.5,32.6,,20.5,,,,,
O FALLON CCSD 90,64.5,46.58,30.325,61.14,38.58,31.8,58.4,38.5,
OAK GROVE SD 68 BARTONVILLE,50.3,41.3,31.6,39.8,36.5,,36.1,,
OAK GROVE SD 68 GREEN OAKS,83.2,52.6,42.9,73.1,,26.8,84.0,,36.4
OAK LAWN-HOMETOWN SD 123,60.620000000000005,52.220000000000006,37.650000000000006,41.08,34.519999999999996,29.53333333333333,41.08,33.56666666666666,
OAK PARK ESD 97,73.0375,45.68333333333334,47.125,68.0,32.6,45.6125,67.8375,,66.06666666666666
OAKDALE CCSD 1,36.1,,,57.1,,,,,
OAKLAND CUSD 5,30.3,19.5,,20.5,16.9,,,,
OAKWOOD CUSD 76,28.2,22.2,,18.4,13.3,,28.2,23.1,
OBLONG CUSD 4,52.3,44.3,,17.9,13.0,,53.0,32.4,
ODELL CCSD 435,48.8,48.8,,29.8,27.5,,37.5,35.5,
ODIN PSD 722,22.7,20.5,,14.4,13.7,,,,
OGLESBY ESD 125,49.0,40.75,,33.6,24.0,,35.0,,
OHIO CCSD 17,37.8,,,34.3,,,,,
OKAW VALLEY CUSD 302,31.7,27.8,,23.3,,,,,
OLYMPIA CUSD 16,64.2,49.43333333333334,38.1,46.63333333333333,35.36666666666667,,54.43333333333334,47.8,
OPDYKE-BELLE-RIVE CCSD 5,45.2,40.0,,13.1,,,,,
ORANGEVILLE CUSD 203,48.4,,,50.0,,,,,
OREGON CUSD 220,63.0,52.3,27.7,52.8,40.2,29.4,45.9,32.8,
ORION CUSD 223,64.2,58.5,,61.0,49.1,,67.6,63.2,
ORLAND SD 135,68.13333333333333,46.9,35.93333333333333,54.53333333333334,32.13333333333333,32.43333333333333,53.800000000000004,32.699999999999996,28.0
OTTAWA ESD 141,54.2,45.15,31.65,37.474999999999994,30.0,39.3,38.6,25.8,
PALATINE CCSD 15,52.07692307692308,35.0,34.09230769230769,46.05384615384616,29.338461538461537,31.772727272727273,47.599999999999994,27.5,49.38
PALESTINE CUSD 3,33.8,23.0,,28.2,17.6,,35.1,,
PALOS CCSD 118,76.1,71.25,42.650000000000006,66.25,59.25,40.5,63.5,50.8,
PALOS HEIGHTS SD 128,69.9,55.8,28.6,62.4,68.4,50.0,50.0,,
PANA CUSD 8,47.7,38.9,22.4,46.4,38.1,15.8,29.6,,
PANHANDLE CUSD 2,45.9,,,52.9,50.0,,59.3,,
PARIS CUSD 4,63.8,55.6,35.7,47.7,37.8,,45.7,,
PARIS-UNION SD 95,51.6,47.2,,41.8,36.1,,34.0,29.8,
PARK FOREST - CHICAGO HEIGHTS SCHOOL DISTRICT 163,37.25,38.73333333333333,,35.45,35.4,,32.1,28.4,
PARK RIDGE CCSD 64,79.0,59.1,55.56,75.92,50.0,52.9,62.279999999999994,,48.36666666666667
PATOKA CUSD 100,58.7,52.9,,28.8,,,,,
PAW PAW CUSD 271,59.0,,,38.5,,,,,
PAWNEE CUSD 11,60.4,55.3,34.2,40.3,,,52.6,,
PAXTON-BUCKLEY-LODA CUD 10,45.8,38.3,22.6,39.0,30.8,21.2,22.0,,
PAYSON CUSD 1,45.6,35.1,,30.7,27.0,,,,
PEARL CITY CUSD 200,44.7,28.0,,42.1,32.0,,35.7,,
PECATONICA CUSD 321,53.7,48.9,31.4,58.1,47.7,49.6,,,
PEKIN PSD 108,44.96666666666667,38.75,12.600000000000001,30.928571428571427,24.883333333333336,8.0,31.549999999999997,25.35,17.5
PEMBROKE CCSD 259,25.6,23.4,,,,,35.1,32.4,
PENNOYER SD 79,54.2,46.3,,36.7,32.8,,39.3,42.1,
PEORIA HEIGHTS CUSD 325,37.5,35.6,,15.2,15.1,,12.9,,
PEORIA SD 150,29.73846153846154,26.884615384615383,35.766666666666666,21.184615384615384,17.73076923076923,,8.399999999999999,,
PEOTONE CUSD 207U,56.5,,,52.1,,,47.4,,
PERU ESD 124,55.9,53.8,,52.9,48.1,,,,
PIKELAND CUSD 10,27.3,23.0,11.3,10.8,7.6,,17.8,17.0,
PINCKNEYVILLE SD 50,63.7,46.0,,50.8,34.35,,56.5,38.5,
PLAINFIELD SD 202,58.76111111111111,46.37777777777778,32.523529411764706,47.81666666666666,34.47777777777778,28.54375,49.90555555555555,36.608333333333334,41.3875
PLANO CUSD 88,39.9,36.3,21.6,27.0,18.0,15.7,32.1,28.2,
PLEASANT HILL CUSD 3,24.1,21.6,,25.6,23.9,,37.2,,
PLEASANT HILL SD 69,37.3,36.3,,,,,46.2,48.0,
PLEASANT PLAINS CUSD 8,70.6,,44.4,62.8,,30.6,,,
PLEASANT VALLEY SD 62,38.8,38.8,,31.2,31.2,,24.6,24.6,
PLEASANTDALE SD 107,76.8,59.4,38.5,76.3,62.5,53.8,,,
POLO CUSD 222,67.5,57.4,,71.1,63.0,,54.3,52.6,
PONTIAC CCSD 429,36.4,30.5,23.049999999999997,27.15,20.549999999999997,32.1,31.7,20.6,
PONTIAC-W HOLLIDAY SD 105,37.0,32.0,,25.1,20.2,,35.0,29.7,
POPE CO CUD 1,49.1,41.3,,37.0,27.2,,32.2,32.4,
PORTA CUSD 202,61.8,55.4,30.9,32.9,23.8,,36.4,31.3,
POSEN-ROBBINS ESD 143-5,51.300000000000004,56.46666666666667,,40.233333333333334,42.23333333333333,,25.0,25.2,
POTOMAC CUSD 10,47.5,52.4,,33.8,26.2,,,,
PRAIRIE CENTRAL CUSD 8,64.55,48.8,37.6,43.7,28.9,,42.4,33.9,
PRAIRIE CROSSING CHARTER SCHOOL,73.1,,55.1,62.9,,34.6,68.8,,44.4
PRAIRIE DU ROCHER CCSD 134,67.6,66.7,,59.2,40.0,,,,
PRAIRIE GROVE CSD 46,59.8,53.2,26.0,58.1,60.9,28.0,,,
PRAIRIE HILL CCSD 133,82.1,88.9,65.7,79.8,77.8,68.6,,,
PRAIRIE-HILLS ESD 144,28.75714285714286,28.514285714285712,,19.21666666666667,18.683333333333334,,,,
PRAIRIEVIEW-OGDEN CCSD 197,59.45,,,58.150000000000006,,,57.7,,
PRINCETON ESD 115,57.7,50.0,25.8,56.3,46.9,25.8,,,
PRINCEVILLE CUSD 326,43.8,31.4,,46.5,32.0,,52.3,,
PROPHETSTOWN-LYNDON-TAMPICO CUSD3,47.150000000000006,55.7,28.2,45.900000000000006,36.650000000000006,,53.2,50.0,
PROSPECT HEIGHTS SD 23,62.85,50.85,,63.099999999999994,51.75,,63.9,46.8,
PUTNAM COUNTY CUSD 535,62.4,46.4,,43.6,26.0,,60.4,,
QUEEN BEE SD 16,54.95,47.55,26.1,42.650000000000006,33.85,,,,
QUINCY SD 172,43.58,35.58,21.5,35.78,26.119999999999997,21.15,35.239999999999995,29.32,
R O W V A CUSD 208,61.2,52.4,34.9,41.6,34.1,,76.7,66.7,
RACCOON CONS SD 1,64.6,50.3,39.7,40.2,27.1,,55.8,,
RAMSEY CUSD 204,69.6,64.8,,39.5,29.3,,44.0,,
RANKIN CSD 98,61.4,46.2,,38.6,33.3,,29.8,,
RANTOUL CITY SD 137,17.0,18.066666666666666,,9.8,,,26.8,,
RED BUD CUSD 132,61.2,54.3,21.0,35.1,27.2,17.8,42.9,27.9,
RED HILL CUSD 10,52.650000000000006,45.4,34.5,35.2,26.75,,24.3,,
REED CUSTER CUSD 255U,59.0,53.5,21.7,46.6,34.5,21.7,46.5,39.1,
RHODES SD 84-5,42.4,39.2,,22.6,18.9,,25.9,20.3,
RICHLAND COUNTY CUSD 1,58.0,50.9,15.2,46.7,37.5,12.7,35.9,30.0,
RICHLAND GSD 88A,57.8,51.8,23.8,34.2,26.8,19.0,56.1,42.7,31.7
RIDGELAND SD 122,59.575,55.1,39.5,49.075,43.45,,37.0,28.166666666666668,
RIDGEVIEW CUSD 19,44.6,40.4,,30.7,24.4,,45.0,52.6,
RILEY CCSD 18,70.2,60.4,37.0,52.5,37.7,26.1,59.3,,
RIVER BEND CUSD 2,46.9,39.5,,40.2,30.2,,46.7,,
RIVER FOREST SD 90,90.65,,70.5,82.7,,52.6,,,
RIVER GROVE SD 85-5,59.1,56.6,17.6,35.3,34.2,,41.0,35.9,
RIVER RIDGE CUSD 210,67.4,57.9,,61.1,47.4,,55.6,,
RIVER TRAILS SD 26,54.55,47.25,,57.099999999999994,47.4,,47.75,,
RIVERDALE CUSD 100,67.4,50.0,30.0,62.4,50.0,52.5,56.0,,
RIVERSIDE SD 96,76.425,44.75,34.5,75.30000000000001,54.8,37.0,61.975,,
RIVERTON CUSD 14,34.4,31.2,14.7,27.3,22.6,16.2,,,
RIVERVIEW CCSD 2,33.3,23.7,,18.5,,,27.0,,
ROANOKE BENSON CUSD 60,82.3,71.4,,72.6,,,,,
ROBEIN SD 85,60.0,48.8,,21.1,,,34.2,,
ROBINSON CUSD 2,44.2,34.5,18.9,33.3,24.1,17.6,23.4,,
ROCHELLE CCSD 231,28.95,23.5,,25.1,18.45,,27.5,16.3,
ROCHESTER CUSD 3A,47.55,43.8,25.7,40.7,31.3,16.0,45.1,,
ROCK FALLS ESD 13,42.4,37.4,,31.2,26.8,,27.8,25.0,
ROCK ISLAND SD 41,30.82222222222222,26.933333333333334,,24.11111111111111,20.955555555555556,16.9,21.45,,
ROCKDALE SD 84,31.3,25.0,,14.0,11.0,,27.3,,
ROCKFORD SD 205,33.81333333333333,30.586666666666666,60.125,25.803571428571427,23.59259259259259,55.05,31.41111111111111,32.86153846153846,100.0
ROCKRIDGE CUSD 300,60.3,47.2,,47.7,37.7,,44.6,,
ROCKTON SD 140,66.8,53.8,38.8,65.0,46.1,35.7,63.7,52.5,33.3
ROME CCSD 2,58.5,54.7,,33.3,20.9,,52.6,46.2,
RONDOUT SD 72,75.5,,50.0,59.4,,42.9,64.7,,
ROOKS CREEK CCSD 425,71.4,,,46.4,,,,,
ROSELLE SD 12,81.3,73.3,52.9,72.1,60.5,44.1,54.9,35.5,
ROSEMONT ESD 78,55.2,,,36.0,,,48.6,,
ROSSVILLE-ALVIN CUSD 7,48.1,41.3,,24.9,19.2,,17.6,,
ROUND LAKE CUSD 116,25.900000000000002,23.766666666666666,,13.733333333333333,12.466666666666667,,20.766666666666666,19.033333333333335,
ROXANA CUSD 1,38.5,31.9,16.5,32.6,23.6,14.9,30.4,24.6,
RUTLAND CCSD 230,81.6,,,60.5,,,,,
SALEM SD 111,55.800000000000004,48.55,22.9,41.099999999999994,34.35,20.45,45.6,34.8,
SALT CREEK SD 48,58.1,39.0,,65.7,48.8,,,,
SALT FORK COMMUNITY UNIT DISTRICT 512,46.8,45.4,,36.7,31.900000000000002,,39.1,,
SANDOVAL CUSD 501,26.1,22.9,,17.4,,,,,
SANDRIDGE SD 172,19.2,,,12.9,,,,,
