,count,mean,std,min,25%,50%,75%,max,median,skew,kurtosis
Niacin Equivalents (mg),54.0,26.233334679592595,12.116696598121415,8.160277778,17.985122025000003,21.50424845,35.515271427500004,61.47447619,21.50424845,1.0090321915289702,0.3989489426698061
Total Sugars (g),54.0,89.68200543711112,51.31715668552204,9.883809524,50.97488545,84.99541428500001,115.98731595000001,250.3168571,84.99541428500001,0.8412544232576508,1.0924506172135078
Omega-3 Fatty Acids (g),54.0,1.443080212777778,0.8470252119052264,0.46555,0.89379545425,1.1330942030000002,1.603844494,4.470380952,1.1330942030000002,1.7418073867641706,2.9467298579170698
Manganese (mg),54.0,2.2313644083333335,1.293030085544346,0.591736842,1.3525306327500002,1.8578863635,2.779117857,6.320571429,1.8578863635,1.3857069096460315,1.6917899301240458
Vitamin E (International Units) (IU),54.0,8.191359160407409,4.3918580876813875,2.644138889,5.0482003107499995,6.5716190480000005,10.116701190499999,19.14539583,6.5716190480000005,1.06678253836033,0.16991993826640162
Natural Alpha-Tocopherol (RRR-alpha-tocopherol or d-alpha-tocopherol) (mg),54.0,5.439439091296297,2.968362974421241,1.7735,3.3284642855,4.356153274,6.7863154762499995,12.85570833,4.356153274,1.09174332021057,0.1752217685035573
Synthetic Alpha-Tocopherol (all rac-alpha-tocopherol or dl-alpha-tocopherol) (mg),54.0,0.09476464201851852,0.5828253319611743,0.0,0.0,0.0,0.0,4.24526087,0.0,7.0885554957422725,51.184155688271595
Daidzein (mg),54.0,0.968030825925926,5.426889439232749,0.0178,0.04952173925,0.0909072685,0.15904761925,39.91371429,0.0909072685,7.239560844437704,52.86946516245863
Genistein (mg),54.0,1.2296514933703702,6.745577442435106,0.023235294,0.08726785675,0.147361842,0.23802840925,49.64895238,0.147361842,7.243840570701067,52.916269977019
Glycitein (mg),54.0,0.1534946201481482,0.7859404528836325,0.0,0.00438354675,0.012549999999999999,0.023693295500000003,5.74947619,0.012549999999999999,7.074231006613174,51.13439420884208
Biochanin A (mg),54.0,0.07927453896481482,0.27734517277116094,0.0,0.001989583,0.009236905,0.01697519825,1.887842105,0.009236905,5.673353439854555,35.53984946186183
Added Sugars (by Available Carbohydrate) (g),54.0,38.40252699562963,32.92355906399519,4.9432,16.826083332499998,26.855122620000003,54.438625,158.0889524,26.855122620000003,1.5923567429518053,2.5718973689766913
Acesulfame Potassium (mg),54.0,0.026807760148148146,0.19699600052964167,0.0,0.0,0.0,0.0,1.447619048,0.0,7.348469228349525,53.99999999999997
Available Carbohydrate (g),54.0,181.3422339359259,89.15790645882363,47.42961111,123.592501875,166.6812857,227.55467955,435.7922381,166.6812857,0.9621201473186457,0.8771502300104053
Glycemic Index (glucose reference),54.0,55.74456759814815,3.2098762263813145,49.53047619,53.8058377375,55.56286005,56.9913858725,62.87619048,55.56286005,0.3277673032335614,-0.07426906975449565
Glycemic Index (bread reference),54.0,79.68809643222222,4.589554237704261,70.80014286,76.9206466375,79.42825478500001,81.47277085,89.88966667,79.42825478500001,0.32976653462211364,-0.0704797633062757
Glycemic Load (glucose reference),54.0,101.50279389555557,50.79472631909439,25.58352778,66.96318723,92.12532143,124.810289775,248.3076667,92.12532143,0.9971842772473544,0.8119181383254626
Glycemic Load (bread reference),54.0,145.0972880598148,72.60286344226193,36.56805556,95.7288176425,131.71870235,178.431423875,354.9374762,131.71870235,0.9968875033950626,0.8114760127159508
Choline (mg),54.0,235.6794768301852,111.55462832090511,50.53327778,167.93761782500002,222.61315215000002,284.239371625,616.4309524,222.61315215000002,1.2747552663607604,2.6942284482801955
Betaine (mg),54.0,111.10922653018517,75.65518240664304,29.80955556,64.7558304225,79.993377175,134.277366075,438.66075,79.993377175,2.102922532837909,5.803980339721759
Inositol (g),54.0,0.2894819728703704,0.13085536231501413,0.053095238,0.1955,0.29769358199999996,0.3593660715,0.677479167,0.29769358199999996,0.4740254390478032,0.5976846727728509
Mannitol (g),54.0,0.3037209484814815,0.2133224106410963,0.008761905,0.1769625,0.26512782,0.35220238075,1.110238095,0.26512782,1.7400557362332092,4.044936976761237
Sorbitol (g),54.0,0.800260955851852,0.6089450220122863,0.000619048,0.4513375,0.682141931,0.9693809525,3.385904762,0.682141931,1.7570608382001398,5.191983449255835
Nitrogen (g),54.0,9.523026195296298,4.364813760375091,2.702638889,6.51079633875,8.3683146995,12.16965,22.87028571,8.3683146995,1.0109660755624856,0.7039930630780704
Tagatose (mg),54.0,2.434587592462963,7.635936597174985,0.025818182,0.213242754,0.5296171325000001,1.18077944875,50.14623529,0.5296171325000001,5.289090761003791,30.482837313739857
Vitamin D2 (ergocalciferol) (mcg),54.0,0.1852992638092593,1.35550383501522,0.0,0.00015416675,0.0005557645,0.0012517855,9.961714286,0.0005557645,7.348463396992465,53.999941799063436
Vitamin D3 (cholecalciferol) (mcg),54.0,6.6878392540185185,4.425075022803827,0.3612,3.2979620745,6.7683045115,8.69966428575,18.04209524,6.7683045115,0.6083154843278195,-0.2247744989336793
Added Sugars (by Total Sugars) (g),54.0,34.785109048462964,30.248852937524294,4.4615,14.867025,23.711819325,51.7094571425,150.8697619,23.711819325,1.6808497096445811,3.196581139799196
Total Grains (ounce equivalents),54.0,5.90837273751852,2.996371123029238,1.894388889,3.9830119044999996,4.617838828,7.51910119025,15.36828571,4.617838828,1.1630564685881237,0.9979554433728413
PUFA 18:3 n-3 (alpha-linolenic acid [ALA]) (g),54.0,1.4050101526666663,0.8295683093388162,0.45455,0.8702224025,1.109132451,1.572328869,4.421666667,1.109132451,1.771419366172919,3.1102794812561387
Solid Fats (g),54.0,22.533651725111113,10.980611454746755,6.919052632,15.86049633,20.497698810000003,24.6752648775,66.70661905,20.497698810000003,1.7067191042872913,4.325064031615229
Gluten (g),54.0,7.737917463092594,4.225288284186665,2.738222222,5.02278968275,6.126279503,9.3773690475,22.05945,6.126279503,1.5245957045134748,2.386774235274976
Total Lignans (mcg),54.0,276.54076959518517,309.4077043414874,56.34668421,127.52986430000001,207.39594284999998,268.3244345,1787.791842,207.39594284999998,3.7737515192942337,15.620588058492391
Secoisolariciresinol (mcg),54.0,64.70110343407407,163.07931915468825,11.51366667,24.13995,33.4504,46.691918055,1208.82,33.4504,6.781441399398377,48.04124630259921
Matairesinol (mcg),54.0,12.72059601975926,9.287251360127762,2.56975,6.398017856999999,9.637277056,17.3917302075,41.47666667,9.637277056,1.21768801757881,0.972163661099843
Lariciresinol (mcg),54.0,113.73335922777778,70.34132379695436,24.89705263,72.3471809525,101.22966665,128.39491074999998,350.9559048,101.22966665,1.810665585157948,3.4927433865611337
Pinoresinol (mcg),54.0,86.10333034972224,186.6047659785967,9.247842105,28.8071652775,47.400583850000004,77.6407875,1389.844316,47.400583850000004,6.681497605458564,47.187065977969326
PUFA 18:2 n-6 (linoleic acid [LA]) (g),54.0,11.684770480648151,6.172644434762199,3.70405,7.4788625,9.915135612,13.4873223,32.23166667,9.915135612,1.5236183713861005,2.549441403146115
Omega-6 Fatty Acids (g),54.0,11.764689371111107,6.2099840535832245,3.7355,7.540331818249999,10.0215062125,13.552638479999999,32.41628571,10.0215062125,1.5219679644089437,2.5422374272471395
ELA_Proficiency,54.0,52.32222042432959,19.880372291797084,17.2,33.885,55.6,69.425,88.8,55.6,-0.10760095005636464,-1.3602271135296078
Math_Proficiency,54.0,43.19719230334766,20.105750692425126,8.6,25.500892857142855,44.6,60.9,83.7,44.6,0.10351748152683186,-1.1025431322696209
Science_Proficiency,54.0,45.35894341659843,18.27539649649173,8.399999999999999,30.491666666666667,49.04,58.46666666666667,81.55305675312232,49.04,-0.17407390541990028,-0.9551428764617538
